trigger_time_s,onset_time_s,delay_ms
1.1025,1.09,-12.499999999999956
61.1058,61.126,20.199999999995555
121.1086,121.164,55.40000000000589
181.1127,181.202,89.3000000000086
241.1171,241.242,124.89999999999668
301.1208,301.284,163.20000000001755
361.125,361.32,194.99999999999318
421.1289,421.362,233.10000000003583
481.1311,481.4,268.8999999999737
541.1356,541.436,300.4000000000815
601.1393,601.478,338.6999999999034
661.1421,661.516,373.89999999993506
721.1456,721.554,408.40000000002874
781.1483,781.592,443.7000000000353
841.1519,841.628,476.1000000000877
901.155,901.666,511.00000000008095
961.1582,961.708,549.8000000000047
1021.1618,1021.746,584.2000000000098
1081.1642,1081.784,619.8000000001684
1141.1672,1141.822,654.7999999997955
1201.1703,1201.86,689.6999999999025
1261.1739,1261.896,722.0999999999549
1321.1782,1321.938,759.8000000000411
1381.1813,1381.974,792.699999999968
1441.1844,1442.012,827.5999999998476
1501.1911,1502.054,862.9000000000815
1561.1947,1562.102,907.3000000000775
1621.2098,1622.142,932.1999999999662
1681.2134,1682.182,968.599999999924
1741.2167,1742.22,1003.3000000000811
1801.22,1802.262,1041.9999999999163
1861.2241,1862.3,1075.900000000047
